Date,Open,High,Low,Close,Volume
2025-01-02,589.72,604.91,587.82,599.24,12682269
2025-01-03,604.76,609.5,596.4136,604.63,11436784
2025-01-06,611.825,630.99,605.62,630.2,14560754
2025-01-07,631.7,632.1011,608.23,617.89,12071479
2025-01-08,613.395,616.4397,602.79,610.72,10085846
2025-01-10,610.03,629.91,597.34,615.86,19256564
2025-01-13,607.1,608.97,598.445,608.33,10785031
2025-01-14,605.065,605.49,588.55,594.25,13597992
2025-01-15,610.21,622.46,606.5,617.12,15524302
2025-01-16,611.5,616.25,609.71,611.3,8355349
2025-01-17,624.05,624.97,603.67,612.77,17280600
2025-01-21,617.825,621.5,609.0082,616.46,11674016
2025-01-22,623.3,633.7,619.435,623.5,12274011
2025-01-23,627.36,636.6,621.15,636.45,9910163
2025-01-24,636.4,652.0,634.2,647.49,19065329
2025-01-27,626.61,663.87,625.1,659.88,28399190
2025-01-28,666.0,682.58,659.465,674.33,20950107
2025-01-29,675.0,681.0459,665.67,676.49,21377820
2025-01-30,696.82,710.79,676.1,687.0,29322898
2025-01-31,691.0,705.2999,685.58,689.18,19331660
2025-02-03,675.91,704.0,675.25,697.46,21415739
2025-02-04,702.5,707.71,691.61,704.19,13826270
2025-02-05,703.55,718.14,699.01,704.87,17793766
2025-02-06,705.88,718.9,703.5,711.99,13080690
2025-02-07,716.795,725.01,711.75,714.52,16427067
2025-02-10,718.56,721.2,711.33,717.4,12904317
2025-02-11,713.32,723.66,710.04,719.8,12997959
2025-02-12,715.3,727.1,712.6,725.38,12016517
2025-02-13,721.5197,729.0,718.04,728.56,12569064
2025-02-14,726.14,740.91,725.62,736.67,16901249
2025-02-18,736.0,737.0,706.44,716.37,21938703
2025-02-19,704.095,707.0,695.39,703.77,17535480
2025-02-20,697.275,705.63,693.64,694.84,12587408
2025-02-21,696.58,703.87,682.36,683.55,15660355
2025-02-24,686.28,687.27,662.45,668.13,15676994
2025-02-25,665.972,668.0,641.86,657.5,20579662
2025-02-26,659.65,683.0078,658.0,673.7,14488705
2025-02-27,682.45,688.6469,657.57,658.24,12500013
2025-02-28,658.04,669.63,642.6017,668.2,17534168
2025-03-03,673.675,681.25,650.8439,655.05,10843763
2025-03-04,645.51,649.75,623.65,640.0,21495208
2025-03-05,641.0,659.5,637.66,656.47,13770026
2025-03-06,648.0,650.5625,624.11,627.93,13446454
2025-03-07,625.37,634.79,600.61,625.66,21375671
2025-03-10,608.07,610.1059,586.8701,597.99,21999943
2025-03-11,595.055,614.934,593.33,605.71,17401469
2025-03-12,629.9,633.33,609.35,619.56,15746966
2025-03-13,620.245,620.5,586.51,590.64,16480324
2025-03-14,602.805,608.86,594.78,607.6,12364505
2025-03-17,607.46,613.1,598.0,604.9,15473909
2025-03-18,600.05,600.25,574.66,582.36,20297708
2025-03-19,584.28,592.3223,574.77,584.06,20537498
2025-03-20,582.755,610.2,579.51,586.0,24336505
2025-03-21,583.425,597.545,580.95,596.25,25015864
2025-03-24,614.97,622.54,612.2001,618.85,15741274
2025-03-25,626.76,633.88,621.18,626.31,15312540
2025-03-26,624.89,626.7499,606.61,610.98,12661891
2025-03-27,602.0,614.25,600.1,602.58,10436524
2025-03-28,600.31,601.75,573.92,576.74,17602823
2025-03-31,563.5,578.7,553.3,576.36,21124677
2025-04-01,570.84,589.91,570.0,586.0,12836574
2025-04-02,574.91,592.66,573.36,583.93,13470778
2025-04-03,546.22,552.5596,530.3,531.62,34777460
2025-04-04,506.62,518.0,494.2,504.73,38589814
2025-04-07,485.1,539.37,481.9,516.25,36606136
2025-04-08,543.25,547.43,502.86,510.45,28034211
2025-04-09,509.265,587.89,502.11,585.77,39216578
2025-04-10,575.49,581.3,535.3,546.29,28173491
2025-04-11,535.505,547.4,528.5901,543.57,17642327
2025-04-14,556.175,557.77,528.28,531.48,14130928
2025-04-15,532.105,537.94,517.5,521.52,15558659
2025-04-16,508.51,513.37,495.63,502.31,18735075
2025-04-17,505.25,507.3,498.0133,501.48,14593508
2025-04-21,491.325,493.5,479.8,484.66,16165982
2025-04-22,491.87,506.88,486.36,500.28,17399408
2025-04-23,528.525,535.3376,516.52,520.27,18173910
2025-04-24,518.73,533.9,517.5,533.15,13910011
2025-04-25,546.8,549.86,536.25,547.27,17098921
2025-04-28,555.64,558.4899,540.59,549.74,15178995
2025-04-29,546.0,556.5699,544.12,554.44,11835036
2025-04-30,538.4,549.1,529.5,549.0,29243971
